,tweet
47,"Presiden Joko Widodo bertemu dengan Presiden FIFA Gianni Infantino di Istana Merdeka. Pertemuan ini dalam rangka mengawal transformasi sepak bola Indonesia pascatragedi di Stadion Kanjuruhan, Malang, 1 Oktober 2022 lalu. #Olahraga #AdadiKompas   https://t.co/gfCxjkEcv0"
48,PN Jakarta Pusat Gelar Sidang Perdana Gugatan Ijazah Palsu Jokowi Hari Ini -  https://t.co/1wIQG0e96a #IndonesiaMemanggil
49,"Tragedi Kanjuruhan, Ketum PSSI Iwan Bule Minta Tunda Pemeriksaan – Viva –  https://t.co/EUvWhq2wC5 – #Arenanews- https://t.co/jqvqwy1JAf"
50,"Ketua Umum PSSI Iwan Bule sedianya diperiksa soal Tragedi Kanjuruhan hari ini. Namun, Iwan Bule meminta pemeriksaannya ditunda.  via @detik_jatim  https://t.co/FaIB6ZFyaY"
51,"Dipanggil Polda Terkait Tragedi Kanjuruhan, Ketua Umum PSSI #MochamadIriawanMangkir  #KetumPSSI #PSSI #TragediKanjuruhan    https://t.co/O45ejjs2oG via @tribunmedan"
52,"@DNAW53 @gagasagustyus @Green_Nord27 @KomnasHAM @persebayaupdate Ini Dari pengalaman gua sebagai fans netral,yg pernah ke GBT dan juga ke Kanjuruhan,bukan bermaksud mau menyudutkan"
53,"Menurut Salis, tidak hanya ratusan korban terdata yang membutuhkan pemulihan psikologi, tetapi mereka yang bersinggungan langsung dalam Tragedi Kanjuruhan. #HIPSI  https://t.co/oMbd6z5hK8"
54,"Pemeriksaan Ketum PSSI Iwan Bule Terkait Tragedi Kanjuruhan Ditunda, Ada Apa?  https://t.co/pLwkfoy4OT"
55,@rayamurni @RadioElshinta @KAI121 @AnkerTwiter Mantap towerannya pak @rayamurni
56,"Soal 3 Jam Rekaman CCTV Stadion Kanjuruhan yang Hilang, Anak Buah Mas AHY Curigai Sosok Ini: yang Bisa Punya Akses Menghapus Siapa?  https://t.co/lOOuvRs7gY"
57,@abangjun @andikprast25 @dinata8831 @CerishIva @Arie_Kriting Kayaknya cuma anda dan buzzer bayaran yang menyalahkan suporter sebagai cikal bakal terjadinya tragedi Kanjuruhan. Yg waras ya salahkan penanganan aparat.
58,"Tragedi Kanjuruhan, TGIPF Minta Pejabat Polri Diselidiki  https://t.co/ovu5VLwwva"
59,"Usut Tuntas Tragedi Kanjuruhan, Polisi Bisa Terapkan Diskresi Hukum Demi Keadilan  https://t.co/xaNnZE63ZO  #TunjukanIjazahAsliJKW  #SayaMauMelamarAnakOm  #AcayAdalahKunci  #OrbitIndonesia #KristPerawat  Gavi Musiala Buddha Bharada E Bonek Wak Haji Gubernur B to B Tomcat"
